Std,ID,Material,Su,Sy,A5,Bhn,E,G,mu,Ro
ANSI,F28DCCD7B2454F398F9D5233A3D5E232,Leaded Tin Bronze C92700,290,145,20,,120000,45000,0.31,8800
ANSI,291AACC414564C1B95431B7BCEA28BCD,Leaded Tin Bronze C92800,276,207,1,,120000,45000,0.31,8800
ANSI,C54141AC30F74D0081501D67CFEEB99B,Leaded Tin Bronze C92900,324,179,20,,120000,45000,0.31,8800
ANSI,BC5A694EF6BE4BCFB6F8C13646C96D50,High Leaded Tin Bronze C93200,241,124,20,,120000,45000,0.31,8800
ANSI,E790E6AB328B41C596708723469882CD,High Leaded Tin Bronze C93400,221,110,20,,120000,45000,0.31,8800
ANSI,EBFFE24015C94EADBCDE92E27DC178C6,High Leaded Tin Bronze C93500,221,110,20,,120000,45000,0.31,8800
ANSI,8240CB5CC4CF4AB8A062B5AD55531810,High Leaded Tin Bronze C93700,241,124,20,,120000,45000,0.31,8800
ANSI,34B98918283F448F81AF9D34973B4999,High Leaded Tin Bronze C93800,207,110,18,,120000,45000,0.31,8800
ANSI,716F36482DE6420A8BAF4267CDD3A18D,High Leaded Tin Bronze C93900,221,152,7,,120000,45000,0.31,8800
ANSI,F0F15E0A8B114DCEB171FEB7376EC6BE,High Leaded Tin Bronze C94300,186,90,15,,120000,45000,0.31,8800
ANSI,05627635D32842E2A786C8108410CFC6,High Leaded Tin Bronze C94400,221,110,18,,120000,45000,0.31,8800
ANSI,439B189A5C5C4E01B127DFC674D23059,High Leaded Tin Bronze C94500,172,83,12,,120000,45000,0.31,8800
ANSI,6BB2AE9CD6FA40E4A0E8044C9351F761,Nickel-Tin Bronze C94700,345,159,35,,120000,45000,0.31,8800
